path	physicalLines	nonblankLines
SharpProof.Symbolic/SymbolicAnalysisLimits.cs	70	70
SharpProof.Symbolic/SymbolicAnalysisTruncationEvents.cs	39	39
SharpProof.Symbolic/SymbolicAssignmentStateTransfer.cs	34	34
SharpProof.Symbolic/SymbolicComplexityAnalysisSession.cs	698	643
SharpProof.Symbolic/SymbolicComplexityModels.cs	96	96
SharpProof.Symbolic/SymbolicConditionProofEngine.cs	226	226
SharpProof.Symbolic/SymbolicDispatchFacts.cs	59	59
SharpProof.Symbolic/SymbolicDynamicNullBindingFacts.cs	50	50
SharpProof.Symbolic/SymbolicErrors.cs	114	114
SharpProof.Symbolic/SymbolicFactFactory.cs	94	94
SharpProof.Symbolic/SymbolicFormulaDisplay.cs	15	13
SharpProof.Symbolic/SymbolicInputWitness.cs	94	94
SharpProof.Symbolic/SymbolicInvariantService.cs	143	143
SharpProof.Symbolic/SymbolicKnownGuardFacts.cs	103	103
SharpProof.Symbolic/SymbolicLoopStateTransfer.cs	27	24
SharpProof.Symbolic/SymbolicMethodLikeDeclaration.cs	24	24
SharpProof.Symbolic/SymbolicMethodQueryInfrastructure.cs	162	162
SharpProof.Symbolic/SymbolicMutationInventory.cs	112	112
SharpProof.Symbolic/SymbolicProgramPointResult.cs	37	37
SharpProof.Symbolic/SymbolicProjectQueryContext.cs	63	63
SharpProof.Symbolic/SymbolicProofCache.cs	39	39
SharpProof.Symbolic/SymbolicProofEncoder.cs	170	170
SharpProof.Symbolic/SymbolicProofService.cs	240	240
SharpProof.Symbolic/SymbolicProofStateFacts.cs	148	148
SharpProof.Symbolic/SymbolicPublicModels.cs	92	92
SharpProof.Symbolic/SymbolicQueryFactSummaries.cs	43	43
SharpProof.Symbolic/SymbolicReachabilityService.cs	72	72
SharpProof.Symbolic/SymbolicRuntimeExceptionFacts.cs	90	90
SharpProof.Symbolic/SymbolicRuntimeHazardCandidate.cs	6	6
SharpProof.Symbolic/SymbolicRuntimeHazardCandidateFactory.cs	71	71
SharpProof.Symbolic/SymbolicRuntimeHazardQueryService.cs	272	272
SharpProof.Symbolic/SymbolicRuntimeHazardSourceCandidateFactory.cs	20	20
SharpProof.Symbolic/SymbolicRuntimeHazardSyntaxFacts.cs	260	260
SharpProof.Symbolic/SymbolicRuntimeTypeFacts.cs	177	177
SharpProof.Symbolic/SymbolicSourceCompilation.cs	74	74
SharpProof.Symbolic/SymbolicSourceInput.cs	7	7
SharpProof.Symbolic/SymbolicSourceLocation.cs	31	31
SharpProof.Symbolic/SymbolicSourceTargetSelector.cs	119	119
SharpProof.Symbolic/SymbolicStateFactBuilder.cs	18	18
SharpProof.Symbolic/SymbolicStateInvalidator.cs	64	64
SharpProof.Symbolic/SymbolicStateValueFacts.cs	152	152
SharpProof.Symbolic/SymbolicStatementStateTransfer.cs	46	46
SharpProof.Symbolic/SymbolicTypeFacts.cs	247	247
SharpProof.Symbolic/SymbolicUnknownReasonClassifier.cs	23	23
SharpProof.Symbolic/SymbolicUnknownReasonTaxonomy.cs	118	118
SharpProof.Symbolic/SymbolicValueFacts.cs	51	51
Tools/SharpProof.SymbolicCli/Program.cs	140	140
